,lr,WeightDecay,depth,PoolSize,threshold,epoch,accuracy
0,0.0001,0.01,4.0,4.0,0.1,56.0,0.7881
1,0.0001,0.01,4.0,4.0,0.15,59.0,0.7969
2,0.0001,0.01,4.0,4.0,0.15,43.0,0.7042
