iter	Passed	Remaining
0	159	159556
1	174	87139
2	189	63071
3	205	51135
4	220	43854
5	236	39205
6	252	35780
7	267	33151
8	282	31124
9	298	29532
10	313	28201
11	329	27119
12	344	26171
13	360	25356
14	375	24639
15	391	24094
16	408	23636
17	425	23227
18	442	22854
19	458	22481
20	475	22157
21	491	21848
22	507	21560
23	522	21249
24	537	20961
25	552	20702
26	567	20454
27	582	20228
28	597	20007
29	614	19867
30	631	19729
31	647	19593
32	663	19441
33	679	19316
34	696	19202
35	712	19067
36	728	18947
37	743	18811
38	758	18682
39	773	18564
40	788	18444
41	803	18333
42	820	18259
43	837	18192
44	855	18147
45	872	18098
46	891	18078
47	909	18029
48	925	17970
49	941	17881
50	956	17796
51	971	17713
52	986	17630
53	1001	17549
54	1016	17468
55	1033	17422
56	1051	17388
57	1069	17365
58	1087	17337
59	1103	17293
60	1122	17273
61	1137	17215
62	1153	17160
63	1169	17099
64	1184	17032
65	1199	16971
66	1214	16918
67	1231	16878
68	1249	16853
69	1266	16822
70	1284	16810
71	1301	16775
72	1318	16741
73	1334	16705
74	1351	16670
75	1370	16667
76	1388	16638
77	1406	16626
78	1422	16583
79	1438	16545
80	1455	16517
81	1473	16498
82	1490	16469
83	1508	16446
84	1525	16426
85	1543	16403
86	1560	16374
87	1578	16355
88	1594	16325
89	1610	16288
90	1626	16248
91	1642	16207
92	1659	16187
93	1678	16175
94	1695	16149
95	1713	16131
96	1742	16223
97	1758	16187
98	1775	16156
99	1790	16113
100	1804	16064
101	1820	16025
102	1837	16001
103	1853	15967
104	1869	15935
105	1886	15907
106	1903	15888
107	1920	15861
108	1937	15839
109	1954	15809
110	1970	15779
111	1985	15742
112	2000	15702
113	2015	15664
114	2030	15629
115	2046	15593
116	2060	15553
117	2076	15521
118	2092	15494
119	2109	15466
120	2125	15439
121	2141	15413
122	2157	15386
123	2174	15360
124	2190	15330
125	2206	15306
126	2223	15284
127	2238	15250
128	2254	15218
129	2268	15184
130	2284	15155
131	2301	15133
132	2317	15107
133	2333	15080
134	2350	15057
135	2365	15026
136	2380	14992
137	2394	14959
138	2409	14927
139	2425	14898
140	2440	14870
141	2458	14854
142	2473	14821
143	2489	14797
144	2505	14771
145	2522	14756
146	2539	14735
147	2555	14711
148	2573	14695
149	2589	14672
150	2605	14646
151	2620	14622
152	2635	14592
153	2651	14564
154	2666	14536
155	2682	14511
156	2697	14483
157	2712	14457
158	2729	14434
159	2745	14412
160	2760	14386
161	2776	14364
162	2793	14345
163	2809	14322
164	2826	14302
165	2841	14274
166	2856	14248
167	2871	14220
168	2886	14192
169	2900	14160
170	2915	14134
171	2930	14108
172	2947	14088
173	2963	14067
174	2979	14047
175	2995	14024
176	3012	14007
177	3028	13987
178	3044	13964
179	3059	13939
180	3074	13913
181	3089	13885
182	3104	13858
183	3119	13833
184	3133	13806
185	3149	13783
186	3166	13764
187	3182	13744
188	3198	13724
189	3214	13705
190	3230	13683
191	3245	13660
192	3260	13635
193	3275	13610
194	3290	13584
195	3305	13560
196	3320	13536
197	3335	13511
198	3350	13486
199	3365	13462
200	3382	13446
201	3399	13428
202	3415	13411
203	3431	13390
204	3447	13370
205	3464	13351
206	3479	13329
207	3493	13303
208	3508	13277
209	3522	13252
210	3537	13227
211	3551	13202
212	3566	13179
213	3582	13157
214	3597	13135
215	3613	13115
216	3629	13094
217	3645	13076
218	3661	13057
219	3677	13039
220	3694	13022
221	3709	12999
222	3724	12976
223	3739	12956
224	3754	12933
225	3769	12910
226	3783	12885
227	3799	12863
228	3815	12845
229	3831	12826
230	3847	12807
231	3863	12790
232	3879	12771
233	3900	12769
234	3915	12747
235	3930	12723
236	3945	12702
237	3960	12678
238	3974	12656
239	3989	12634
240	4004	12611
241	4020	12593
242	4036	12574
243	4052	12557
244	4069	12539
