iter	MultiClass
0	1.079231825
1	1.060567201
2	1.045287351
3	1.025509435
4	1.009022934
5	0.9922987967
6	0.9783592616
7	0.9638765435
8	0.9501866077
9	0.9383145367
10	0.9244586201
11	0.9110799531
12	0.9000914892
13	0.8885551682
14	0.8756107776
15	0.8627887398
16	0.8522565597
17	0.8423767226
18	0.8336881918
19	0.8231171598
20	0.8125099112
21	0.8041733786
22	0.7948741399
23	0.7857612057
24	0.7768375596
25	0.7685021521
26	0.7589264496
27	0.7506996214
28	0.7446630175
29	0.7375290285
30	0.7304618258
31	0.722538079
32	0.7144969719
33	0.7080964111
34	0.7015075807
35	0.6945964414
36	0.6884851988
37	0.683220125
38	0.6774001715
39	0.6726630027
40	0.6671802332
41	0.6610080826
42	0.6553197264
43	0.6497819849
44	0.6437283047
45	0.636981257
46	0.6303075508
47	0.625300532
48	0.6201519497
49	0.6150544765
50	0.6097355374
51	0.6047682274
52	0.5992643807
53	0.5951380541
54	0.5896010864
55	0.5851571961
56	0.5806994935
57	0.5761016066
58	0.5723675496
59	0.569185596
60	0.5647227295
61	0.5603496982
62	0.5559759085
63	0.5524681957
64	0.5487524733
65	0.5455158611
66	0.5421337356
67	0.5378992986
68	0.5338491512
69	0.5310677873
70	0.5276402772
71	0.524063838
72	0.5211059915
73	0.5180942934
74	0.5152217532
75	0.5125825784
76	0.5095956103
77	0.5067376122
78	0.5027301247
79	0.499839268
80	0.4964678946
81	0.4938262226
82	0.4916430071
83	0.4885818732
84	0.4853071969
85	0.4826079699
86	0.4794675493
87	0.4766921024
88	0.4737881386
89	0.4703364778
90	0.4677732242
91	0.465068276
92	0.4626896872
93	0.4602850055
94	0.4574705788
95	0.4550009859
96	0.452909795
97	0.4509384988
98	0.4485865658
99	0.4462904975
100	0.4439914189
101	0.4415946154
102	0.4393491694
103	0.4368182083
104	0.4344681888
105	0.4325675597
106	0.4305901215
107	0.4282459961
108	0.4262743462
109	0.4237020178
110	0.4217635516
111	0.4197254718
112	0.4170089203
113	0.4141133476
114	0.4122651975
115	0.4105750471
116	0.4084943118
117	0.4067227476
118	0.4049663137
119	0.4030228689
120	0.4010063713
121	0.3990558088
122	0.397352038
123	0.3956151111
124	0.3936687993
125	0.3919604875
126	0.3910847659
127	0.389009352
128	0.387293604
129	0.3856366441
130	0.3837304844
131	0.3825319877
132	0.3805273839
133	0.3785815183
134	0.3767397309
135	0.3753831828
136	0.3740815694
137	0.3723598292
138	0.3708218664
139	0.3696123771
140	0.367713164
141	0.3661062604
142	0.3653181989
143	0.3645187979
144	0.3630700047
145	0.3617240904
146	0.3599294476
147	0.3588434506
148	0.357959447
149	0.3562475191
150	0.3545740583
151	0.3532540875
152	0.3516179814
153	0.3501642597
154	0.3483897171
155	0.3471075404
156	0.3456901813
157	0.3444460421
158	0.3430828651
159	0.3416603129
160	0.3404244063
161	0.3392242841
162	0.3374888309
163	0.3362577932
164	0.334858213
165	0.3335576343
166	0.3319366352
167	0.3305682836
168	0.329374562
169	0.3282963522
170	0.3267369006
171	0.3254972386
172	0.3243348214
173	0.3230621304
174	0.3220263659
175	0.3209463646
176	0.3196394928
177	0.3184396217
178	0.3172086398
179	0.3157559989
180	0.3144617994
181	0.3132819171
182	0.3120479049
183	0.3109918063
184	0.3097156236
185	0.3088671259
186	0.3079016906
187	0.3066045615
188	0.3056112738
189	0.3045043634
190	0.3033967183
191	0.3022667071
192	0.3014221086
193	0.3004376664
194	0.2992446673
195	0.2982679309
196	0.297239792
197	0.2958806584
198	0.2949264998
199	0.2938377389
200	0.2927914149
201	0.2915549895
202	0.290639461
203	0.2894555602
204	0.288509538
205	0.2869569146
206	0.2858095016
207	0.2847107943
208	0.2836379605
209	0.2826384827
210	0.2820455439
211	0.2810095642
212	0.2800561275
213	0.2791873247
214	0.2779138239
215	0.2771469821
216	0.2762622818
217	0.2752502571
218	0.2743411467
219	0.2734344566
220	0.2723354988
221	0.2711772113
222	0.2701763564
223	0.2691426893
224	0.2681973213
225	0.2673325733
226	0.2665735379
227	0.2658921101
228	0.2655636401
229	0.264709116
