,lr,WeightDecay,depth,dim,threshold,epoch,accuracy
0,1e-06,0.0001,8.0,1024.0,0.1,63.0,0.5806
1,1e-06,0.0001,8.0,1024.0,0.2,139.0,0.6446
2,1e-06,0.0001,6.0,1024.0,0.1,80.0,0.6412
3,1e-06,0.0002,6.0,1024.0,0.2,143.0,0.6269
4,1e-06,0.0002,6.0,1024.0,0.4,103.0,0.6181
5,1e-06,0.0002,4.0,1024.0,0.4,105.0,0.6071
6,1e-06,0.0002,4.0,1024.0,0.2,69.0,0.5784
