,lr,WeightDecay,depth,PoolSize,threshold,epoch,accuracy
0,0.0005,0.02,2.0,4.0,0.1,60.0,0.7385
1,0.0005,0.02,2.0,4.0,0.15,59.0,0.7395
2,0.0005,0.02,2.0,4.0,0.2,60.0,0.7086
3,0.0005,0.02,2.0,4.0,0.25,60.0,0.6909
