,pet_original_glrlm_RunLengthNonUniformityNormalized,ct_original_glrlm_RunEntropy,pet_original_gldm_LargeDependenceEmphasis,ct_original_gldm_DependenceVariance,pet_original_firstorder_Minimum,pet_original_glcm_Imc1,ct_original_glcm_Imc2,pet_original_glcm_Idn,ct_original_firstorder_Entropy,ct_original_firstorder_10Percentile,ct_original_firstorder_Minimum,ct_original_firstorder_MeanAbsoluteDeviation,pet_original_gldm_SmallDependenceEmphasis,pet_original_glcm_Id,pet_original_firstorder_10Percentile,ct_original_firstorder_Uniformity,ct_original_glszm_GrayLevelNonUniformityNormalized,pet_original_glcm_Idmn,pet_original_glrlm_RunEntropy,ct_original_glszm_SmallAreaEmphasis,ct_original_glszm_GrayLevelVariance,pet_original_glcm_Correlation,pet_original_glszm_SmallAreaLowGrayLevelEmphasis,ct_original_glcm_DifferenceVariance,ct_original_gldm_DependenceEntropy,ct_original_firstorder_Variance,pet_original_glcm_Contrast,pet_original_glcm_InverseVariance,pet_original_gldm_LowGrayLevelEmphasis,pet_original_ngtdm_Contrast,pet_original_glrlm_LongRunEmphasis,ct_original_glcm_Correlation,ct_original_gldm_LargeDependenceHighGrayLevelEmphasis,pet_original_glszm_SmallAreaEmphasis,pet_original_gldm_DependenceVariance,ct_original_glszm_SmallAreaLowGrayLevelEmphasis,ct_original_ngtdm_Strength,ct_original_glcm_MCC,ct_original_ngtdm_Complexity,ct_original_glcm_Id,ct_original_ngtdm_Busyness,ct_original_firstorder_InterquartileRange,ct_original_glszm_ZoneEntropy,ct_original_ngtdm_Coarseness,ct_original_glcm_Autocorrelation,pet_original_glszm_SizeZoneNonUniformityNormalized,pet_original_firstorder_Uniformity,pet_original_ngtdm_Complexity,pet_original_gldm_DependenceNonUniformityNormalized,ct_original_firstorder_Mean,pet_original_firstorder_90Percentile,ct_original_gldm_LargeDependenceLowGrayLevelEmphasis,ct_original_firstorder_Maximum,pet_original_glszm_LargeAreaEmphasis,ct_original_firstorder_Kurtosis,ct_original_glszm_SizeZoneNonUniformity,ct_original_glcm_Contrast,pet_original_gldm_GrayLevelNonUniformity,pet_original_glrlm_LongRunHighGrayLevelEmphasis,pet_original_ngtdm_Strength,ct_original_glszm_HighGrayLevelZoneEmphasis,ct_original_glrlm_RunLengthNonUniformity,ct_original_glrlm_ShortRunHighGrayLevelEmphasis,ct_original_glrlm_LongRunLowGrayLevelEmphasis,ct_original_gldm_LargeDependenceEmphasis,pet_original_firstorder_Maximum,ct_original_glcm_Imc1,pet_original_gldm_DependenceNonUniformity,pet_original_glszm_LargeAreaHighGrayLevelEmphasis,pet_original_ngtdm_Busyness,ct_original_glcm_ClusterProminence,ct_original_glrlm_LongRunHighGrayLevelEmphasis,pet_original_glcm_Imc2,pet_original_glrlm_ShortRunLowGrayLevelEmphasis,pet_original_glszm_LowGrayLevelZoneEmphasis,ct_original_firstorder_Energy,ct_original_gldm_SmallDependenceLowGrayLevelEmphasis,pet_original_glszm_GrayLevelNonUniformity,label
0,0.8986483108792811,0.37499197999487427,0.04633647891502533,0.5311442429113971,0.40540540540540543,0.8408478603953639,0.15519822710591566,0.42356183469552455,0.0821329082929856,0.5757575757575758,0.6067415730337078,0.06735358619857909,0.2151742786067161,0.07017050935886981,0.5094339622641509,0.9403742986181227,0.35363739492852886,0.650575107010896,0.6503839828125055,0.34792895135760515,0.05715484615537181,0.5498484303495288,0.2835490266747542,0.04961511201863842,0.559204853415495,0.013394349531915034,0.4387162774831767,0.6943346927585021,0.10748693077580466,0.47353490178690555,0.0033422245554544754,0.3810353534581875,0.03040349583759848,0.60530430771336,0.07971422874534385,0.11138968530495001,0.13804552747641607,0.2205481110895861,0.0035169260115711543,0.9673170156556573,0.008282164847087341,0.0273972602739726,0.4015903548458019,0.0809383071910742,0.002799307626110019,0.3551005011862013,0.09050865262504632,0.30329514042981104,0.27701463722956965,0.4850565221773295,0.6851648351648352,0.5180204028121057,0.3616071428571429,1.15147673930396e-05,0.06840452201856137,0.002120739137002164,0.009791786854265388,0.0015434686427836235,0.17919851043911458,0.10879976118532146,0.06630757800891528,0.005317146071115564,0.038082704004138115,0.09379253173384285,0.47662164112819144,0.7043478260869565,0.8609895741052198,0.009266927378194121,4.367324735697692e-05,0.0033836047533208364,0.00024197316540013782,0.0033813529680313584,0.6648790537514647,0.12626590029042123,0.24135529692168517,0.005128224817417838,0.06840945562124719,0.008539781698295657,2
1,0.4359174051769286,0.7122242920552215,0.3191981881428665,0.3803747245641032,0.13513513513513514,0.7340675711627251,0.0050782039995426395,0.6534708003605147,0.0,0.6262626262626263,0.6292134831460674,0.01763249358715239,0.018989589017033466,0.5171891508600799,0.22641509433962265,1.0,0.7906750516977075,0.8355386563596321,0.7186708819410785,0.1135869589149954,0.00846945826656085,0.698042123681865,0.19685762446262545,0.0,0.3061757436394252,0.0011855952542756676,0.07539033175908016,0.7246899379442733,0.4148497168508135,0.14835312921867733,0.045307422188787076,0.8176510581465746,0.06234765233411632,0.3079952173177318,0.3972370213822234,0.1266720037218518,0.14467992722260029,0.05099418035718148,0.0,1.0,0.003214197539043586,0.0136986301369863,0.2741280638635694,0.33920237264135056,0.0,0.11025944446153176,0.2199404084758682,0.05684613969333775,0.05803386132112803,0.48856312488883685,0.31318681318681324,0.9520906641921687,0.20089285714285712,0.010811549820027648,0.011014002296383453,0.0017672826141684706,0.0,0.03373945552786751,0.19446609278179583,0.004716047626209825,0.009101040118870717,0.010988826492577274,0.0005882715685103911,0.6460213054968279,0.8817739822634999,0.3521739130434783,0.9494599111568411,0.06202452028557973,0.01604220637125801,0.06284260168207058,0.0,0.035297435460914975,0.6964958262980555,0.4035165840931759,0.33352013100437294,0.07212624139357855,0.02139852469255303,0.008499782720786078,2
2,0.34222971534192603,0.7538757995018011,0.3986447037969051,0.7621214013060701,0.24324324324324326,0.4790741309390736,0.49214468950804957,0.7618818446365778,0.3150575148158758,0.4646464646464647,0.06741573033707865,0.20800433195629223,0.01422426348945444,0.6109363975654702,0.2830188679245283,0.6952873626193268,0.22407565396298385,0.9096869341981204,0.8080619174082344,0.48013854246597965,0.113996315869781,0.8921223446672402,0.18928388740896293,0.1077683017604899,0.5561759575474448,0.05778586849010419,0.05871562586863002,0.5967563099797683,0.4929621219653816,0.09908937090285236,0.0642308761714405,0.606918393743032,0.5013723133544019,0.33651513892638746,0.4573802334581641,0.39015629170222593,0.006200184889830892,0.5484645801575221,0.04156921337843382,0.9002307423608932,0.07474087623073473,0.0684931506849315,0.5848631192455567,0.0016611173889986366,0.3406292388181406,0.12224824886724737,0.22622084877740095,0.06835308537808771,0.04265623884968561,0.461999086804368,0.34065934065934067,0.08486669508057426,0.3883928571428572,0.010144560964822467,0.017587766690268344,0.01964802435752006,0.023014305096768634,0.035367976798110254,0.2410628943944317,0.01283203615061577,0.15379993007604226,0.0446323981785367,0.21526898507967893,0.028992496471782894,0.7139919405627319,0.43913043478260877,0.7569584309774136,0.05854109882128006,0.009849578039548994,0.04475388080365907,0.0012797683254222457,0.13631533152543335,0.911028571375201,0.377521887457982,0.31187285940739534,0.07063804812123534,0.02738717693948789,0.006289839213381697,0
4,0.3053113812979348,0.7336356021599162,0.42995948706190684,0.6938928699720436,0.08108108108108109,0.5430546016318476,0.729228070763237,0.8147086551820557,0.5406158184950385,0.2828282828282829,0.16853932584269662,0.3425168906839689,0.013612774363863187,0.6732891601405901,0.1509433962264151,0.4465003639604464,0.1608334777028999,0.9247639464419048,0.7460419068605642,0.5696497789678155,0.17367545779299384,0.8714807650681705,0.048007493187082306,0.16336796044332996,0.7662008071039623,0.10794891389767344,0.0692142858984835,0.4420678485861864,0.7699066812506321,0.049633942259743886,0.07212219734363828,0.7340455006418389,0.35701720823781324,0.2336742403022589,0.47382100181825887,0.35187432391480705,0.006913147804740591,0.6602792992260543,0.057253867503655693,0.82500955212747,0.073457803152997,0.1506849315068493,0.5907576142722815,0.001960125590757054,0.3145718839665628,0.10351207110209325,0.5123079725019002,0.07957242693973714,0.036734240513226296,0.41334530952662646,0.2362637362637363,0.07431462073800567,0.3258928571428571,0.00694514771228405,0.005940716179943533,0.035345652283369416,0.03858990565138763,0.04268081927136581,0.11682134520829635,0.04981522114782489,0.22294452699356115,0.05292572723397561,0.24951730613241038,0.015197110041506161,0.5301812678485,0.6391304347826087,0.6648824743931603,0.03885840972455461,0.0030638233457004134,0.02589265412634652,0.0037010327056020264,0.057908603106396506,0.8129424549134097,0.3842946625292892,0.3242061591436816,0.04312414315534381,0.043549845892342384,0.006346504431520271,0
5,0.3077094679014032,0.7041214572208496,0.44480187377163893,0.7658379012516568,0.08108108108108109,0.6115772349993327,0.741836062471385,0.8144689230058897,0.6417827269800017,0.3434343434343435,0.07865168539325842,0.3972461454742981,0.012885198063936818,0.7559085939377028,0.1320754716981132,0.40629229033324515,0.05975114463505504,0.8889351938591386,0.616692005523571,0.5053101451101739,0.6858726400127115,0.7748507026247309,0.004701313416820485,0.47668654218582746,0.7969518480872828,0.335200179650069,0.05456565951160073,0.3053849834556246,0.8770709687236213,0.035725634855753724,0.07853948069126947,0.7526038852472203,0.2878631332565391,0.03371465436569809,0.5738221292441497,0.27202575783997957,0.23575824932998887,0.7972376644660029,0.5933069316372235,0.7731503627932056,0.013474817383400669,0.1917808219178082,0.6762167153120517,0.003974140816930665,0.3860250458364687,0.10949825053101019,0.7118047748759202,0.02438636839932007,0.021952534702586235,0.46318228811789935,0.1318681318681319,0.05140688576897029,0.9955357142857143,0.0025405657044116985,0.0565436537676948,0.041468024196738756,0.10864320288618945,0.020130211218431282,0.07829982901079083,0.06859245311591809,0.537239970282318,0.03142657754867783,0.5524846129376296,0.008013333581526706,0.4141951494930338,0.41304347826086957,0.6794058108096837,0.01239319735488706,0.0009190250835754923,0.012128596937886628,0.19119714555010794,0.04053214834469908,0.6667441025381907,0.45705726392474355,0.4612285714441624,0.020587404837608615,0.08189611280843795,0.0036492400481241555,0
8,0.6377857014510868,0.4653161602808064,0.14180696282352193,0.4145989865790779,0.2702702702702703,0.8466100229774713,0.8890103444727816,0.6646555073850218,0.6025559909176399,0.16060606060606064,0.10112359550561797,0.41508967464795377,0.08115818810166171,0.6086639319992617,0.2641509433962264,0.3908915642716628,0.27047395819689324,0.7986233768105366,0.33262693341158783,0.44941412741191494,0.0906639939091293,0.41568431246949533,0.17126767134591597,0.14073983513815982,0.7013063671694055,0.1807241154736787,0.06207081739135996,0.5953517574598591,0.8188210988166716,0.06582341714466275,0.01327067861613387,0.8733689543995675,0.14509390040799855,0.23213772609497574,0.2468094918913364,0.25037189819329075,0.11195909806983834,0.8889357529537366,0.029236334362486363,0.8513416321497164,0.003662759042995129,0.0684931506849315,0.5136461273359547,0.04837580651530205,0.33338068134675897,0.16406188030459284,0.59765014727115,0.03187370797495211,0.1301757911454342,0.43014711778174547,0.14285714285714288,0.044737635154227254,0.2767857142857143,1.5791455777332327e-05,0.007271061196108854,0.008108708465008278,0.03348803253026344,0.0020954963192670586,0.015517815689302092,0.12863576197186166,0.19333974302945545,0.0059195895104736445,0.4156317927590368,0.004875070042098556,0.22129888353816496,0.2217391304347826,0.3955736906163049,0.0021031796254119056,6.467662936198421e-06,0.004108939984000352,0.010583785150953262,0.01593501766688323,0.44433912547417476,0.7345080107140096,0.6955124360836232,0.0020634580092073565,0.1448356125938084,0.007586056078301575,2
11,0.1366143706987999,0.7605800925728103,0.6485892591158243,0.6796505493387759,0.05405405405405406,0.664268732099137,0.8493170279492062,0.8209616731538532,0.7674767933659274,0.12121212121212122,0.02247191011235955,0.6234116158130494,0.0032171841456536234,0.8280607233695501,0.09433962264150944,0.14382070599441177,0.24358967327452935,0.8728617960422662,0.7253662198497457,0.5394555341971952,0.16538287169540933,0.6369186704573463,0.02872322190332681,0.27001644255945156,0.9196159421794343,0.24351206276093035,0.021775534488242102,0.28461635676606595,0.8623288221384944,0.03817800605179649,0.17137075837984483,0.8021982178925611,0.20276992099284993,0.18698938795541822,0.4476186023116965,0.4011423294694344,0.006962081814831757,0.732164924724871,0.09696525773944532,0.7226114783491763,0.16033945592319548,0.6301369863013697,0.6140647016344383,0.0014382548566234147,0.19899812022288949,0.21323471087491092,0.6762108193648178,0.006982173212541172,0.046152724880635626,0.2616808934130608,0.1263736263736264,0.2321832182253265,0.3258928571428571,0.051102349889409954,0.0007898365378836733,0.034403101555812894,0.07241341331722928,0.049231171485576666,0.1646571206015657,0.004482945977946219,0.1492570579494799,0.06333204577962064,0.23265061935794468,0.04003301871852405,0.4647272165897335,0.15652173913043482,0.6399156597714064,0.03810149802058537,0.018617631499497106,0.06923679696762575,0.008024353419951367,0.031114159896364204,0.5512533065381275,0.31451680837803075,0.359143708565915,0.02628112343410166,0.06261947132580532,0.0023799391618201018,0
13,0.6493993679008312,0.7274895684511773,0.18369836836820833,0.9270878422205029,0.02702702702702703,0.6150031136903473,0.6668004370632409,0.6725999123147117,0.6011989876484062,0.23232323232323235,0.02247191011235955,0.44328665848896576,0.04766234105015228,0.2579480513868193,0.18867924528301885,0.341522205691897,0.20369967908777503,0.8785679173008916,0.8881861021001911,0.7349891047244833,0.19944883431485855,0.9051983370724707,0.04564858747395368,0.23546629443488457,0.6938742021214732,0.1481184750542205,0.26991423501794237,0.7127232628886152,0.3703822679452904,0.24229968464390764,0.02173952052729837,0.6746926594503049,0.4155367641297529,0.5769050262672671,0.3302247616201432,0.6771122441063058,0.01040986828882269,0.5883236748982562,0.15224636098038888,0.7706575847207587,0.08673259716461236,0.3561643835616438,0.526863290788101,0.0013564058137074504,0.28367985316066946,0.3157818057023714,0.0699757704114509,0.4032400844636048,0.11043358763348407,0.3762182519615755,0.7582417582417583,0.09425393105153364,0.4330357142857143,0.004168799236870685,0.004057819669321798,0.07256254498174072,0.0588468495823848,0.014194336707429249,0.2866255921945954,0.07216386047763762,0.17875768435160094,0.05529225288530271,0.1961501651274441,0.027348618491357893,0.6232257525552944,1.0,0.749957679339857,0.055634809105325936,0.007366923529696995,0.01577115423862988,0.004066602337263981,0.09422216658956573,0.9295182158745828,0.24850820544840807,0.021715313742125278,0.03833043583010672,0.07794046422010156,0.0040798957059773175,0
14,0.49742566284631246,0.5928808679479696,0.2285742699847522,0.6406955101539099,0.24324324324324326,0.7836803590945337,0.43993867053407254,0.6633501377835707,0.30724888100081427,0.6262626262626263,0.056179775280898875,0.11355618013124033,0.03166403377262258,0.531900758098167,0.22641509433962265,0.7157181497881469,0.2869539663604461,0.8383324326718657,0.5673548903590779,0.4859500947024146,0.12315906691854583,0.6325556749091871,0.15275767736214654,0.12584239135157818,0.6518882294118875,0.03945011004516771,0.07460056359762311,0.7003275070659368,0.6397075613770945,0.10093555000167964,0.027413233119720368,0.5462936670056243,0.3696944386440975,0.4421279930859743,0.24130268173917066,0.12136544033641267,0.022802163273118178,0.49644596838514576,0.04427855562068969,0.8873190718959084,0.020199236857793644,0.0410958904109589,0.5410186079642796,0.005952012708412896,0.37867272872311336,0.21323471087491092,0.3589549938569592,0.06266487142753792,0.11098704423694489,0.5086785883611793,0.23736263736263763,0.058552431087279644,0.3392857142857143,0.0008557064746785367,0.0561989501510264,0.01915506317292278,0.02732237346553239,0.012110971590731682,0.06852646085564593,0.02385084021152533,0.2762186646215788,0.018527924188496067,0.3617524216424995,0.009869256607616379,0.5151850821878762,0.3695652173913044,0.7978544998372501,0.020612423909765053,0.0005458257397174895,0.025201874646706163,0.0015136506896530433,0.05748832285382779,0.6073901779675197,0.538905620399797,0.25670584786495676,0.020538846626729463,0.025360569030674962,0.0047598783236402036,1
16,0.41305097578608,0.5005634136236969,0.3757469923334365,0.47596289114206886,0.35135135135135137,0.8462227095822243,0.039496300110460576,0.6476694495693045,0.0060173388822524765,0.6363636363636365,0.21348314606741572,0.009550213119276528,0.05018670938408718,0.6626741025901524,0.3773584905660377,0.9973241436882312,0.483235141632809,0.7466000838905922,0.5895339799377439,0.3879274262008098,0.08884627789431476,0.5160467401128986,0.5180689555768271,0.004869545762971977,0.5031090603480175,0.0018754649820625989,0.04352782603533798,0.5539759772870644,0.3882380996155979,0.16949883765111265,0.053700260062484725,0.3532628774654476,0.458821037564767,0.48333849557548025,0.7005265604932469,0.18393475707593152,0.37433428212602493,0.2856179126240421,0.0011802451872556493,0.9982680958205222,0.0007161812225656261,0.0136986301369863,0.5025681170832101,0.06861798186832009,0.3681704819226539,0.22576827405420585,0.44624832855128443,0.012060029157675648,0.007441389846468444,0.4869832885775049,0.2252747252747253,0.07304996708064723,0.4955357142857143,0.0012057752007333781,0.9999999999999999,0.005890942047228236,0.0009291699842055945,0.051025315337081184,0.17489310701444882,0.0008086770613291774,0.27924302459963674,0.0359460771270343,0.21272602597077472,0.01992460008580771,0.6451708618896036,0.19130434782608696,0.8710117494031768,0.04224449384854187,0.0015300826881332263,0.11744519676536833,4.892069785644109e-05,0.10651033889734357,0.45668242544122783,0.4605919826101056,0.734152672460569,0.06792964564814048,0.002680451261584513,0.08231063664102262,1
